Index,Comment,Height(Inches),Extra,Weight(Pounds)
1,"Speech;Direction,Throw|Lay	Player,Such
",65.78331,"Program
Different;Position;Middle	Force	Somebody,Test|",112.9925
2,"Side	Would	Reduce,Environment	Option|Financial Want
Take;",71.51521,"Feel
",136.4873
3,Dark Series Determine;,69.39874,"Now;Article,Court
Trade	Behavior|Property
Seek	",153.0269
4,"Cup
Assume
Imagine Perhaps|Soon;",68.2166,Skill	Rate	Fly	Allow	Probably;,142.3354
5,Likely|Memory;Character|Government|Mind	,67.78781,Call	,144.2971
6,"Expert;Chance	End,So Interesting	Everyone,",68.69784,"Nation	Environmental	Project	Class
Pick Age|Send,",123.3024
7,"Everything Follow
Case,Cold|Cause|Learn Leave;Few Whole|Off	",69.80204,West	Agree;Focus;Voice	Baby	Scientist|,141.4947
8,"Rather,Stock	",70.01472,Democrat	Blue|,136.4623
9,"Effect,Well|Art|Sometimes;Spend Bill
Though,Economic|Under
Weight ",67.90265,,112.3723
10,Despite	New	Draw|,66.78236,"Learn
Low|Full
Face|Throw	",120.6672
11,"Key;Mind	Hospital,Travel|",66.48769,"Culture	Could;Step	Child,The ",127.4516
12,,67.62333,,114.143
13,Ability	Past|,68.30248,,125.6107
14,"Play Official
Serve ",67.11656,"Region,Little,Face ",122.4618
15,"Reduce
",68.27967,"Whose|Heart,Tax Tough;Compare
Though Watch|Support;",116.0866
16,Which|Piece	Human|,71.0916,"Generation|Main,Area
Trip
",139.9975
17,Close Even;Without ,66.461,"Recognize,Protect	Cell	Quality|Study Financial|",129.5023
18,,68.64927,"We	Away;Tree;House;Arm;Plant|Toward	Field
Million,",142.9733
19,"Land,Leg
Night;Official	Heavy	Attack	Well|",71.23033,"Run,",137.9025
20,Now;Condition|Off;,67.13118,Identify;,124.0449
21,"Since Maintain
Almost,Boy,Scientist,Evening,Area|Discussion
Answer	Response
",67.83379,"Laugh Look	Recently|Even,Paper Finish	Perhaps|Official;World|Police ",141.2807
22,"Billion,Week,Million Design May
Network|Dream;Peace
",68.87881,Window Lawyer	Between;,143.5392
23,"Fast|Career	Arrive,Its|Particularly,Avoid|Rock
Shoulder	Than ",63.48115,"At
Career;Someone|Up|Ever|",97.90191
24,"You
And ",68.42187,"Benefit|Control
Different Final
Me	",129.5027
25,"Hospital Scientist,Find	Him	Personal	",67.62804,"Response,",141.8501
26,Sport	,67.20864,,129.7244
27,"Property	Season Approach	Life,Include	Contain,",70.84235,"Simply Talk;Our,",142.4235
28,"Hundred,Wind
",67.49434,"Create
Senior	",131.5502
29,"Model
Standard,Receive
Food
",66.53401,"After;Record,Response
Fill;While
Understand
",108.3324
30,Doctor|Ball	Begin;Arm Gas Every Reason Dog	Amount ,65.44098,Wait	,113.8922
31,"Perform|Result
Then;On,",69.5233,Fast;Up;Most	Six;Discuss	,103.3016
32,,65.8132,"Direction;Result|Use
Lose,Activity Through|Want|Moment,",120.7536
33,"Project	Born Pattern	Coach
Research ",67.8163,"Organization	Family
Military;Conference Will;Hit|Chair
Collection|Age
Compare
",125.7886
34,"Win
",70.59505,"Quickly
Religious Field|Staff;Crime|Person,",136.2225
35,,71.80484,"Six;Consider,Main|Seem|",140.1015
36,"President,Class;Majority	Food General|Maybe	Evidence;Series	Individual|Crime,",69.20613,"Always|Statement,Court Performance,Really,Choice;Guess,Court|Especially Agent ",128.7487
37,"Difference	Hand
Sing|",66.80368,Positive|,141.7994
38,"Six	Protect|Trial	Hope	Answer
Large
Service Wonder
",67.65893,"I
Final	As|Government;Include;Sister|Enter|",121.2319
